"Numeración","Puesto Institucional ","Régimen laboral al que pertenece ","Número de partida presupuestaria","Grado jerárquico o escala al que pertenece el puesto","Remuneración mensual unificada","Remuneración unificada (anual)","Décimo Tercera Remuneración","Décima Cuarta Remuneración","Horas suplementarias y extraordinarias","Encargos y subrogaciones","Total ingresos adicionales","","","","","","","","","","","",""
"783","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"784","DOCENTE DE UNIDAD EDUCATIVA MUNICIPAL","LOSEP","2.01.01.001.001.7.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"785","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"786","ALBAÑIL","CODIGO DE TRABAJO","1.03.01.001.001.5.1.01.06","","578","6936","48.17","35.42","0","0","83.59","","","","","","","","","","","",""
"787","CHOFER DE VEHICULOS LIVIANOS","CODIGO DE TRABAJO","3.03.02.001.001.7.1.01.06","","596","7152","49.67","35.42","0","0","85.09","","","","","","","","","","","",""
"788","JORNALERO","CODIGO DE TRABAJO","3.06.01.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"789","ALBAÑIL","CODIGO DE TRABAJO","1.01.02.001.001.7.1.01.06","","578","6936","66.74","35.42","222.93","0","325.09","","","","","","","","","","","",""
"790","JORNALERO","CODIGO DE TRABAJO","3.06.01.001.001.5.1.01.06","","561","6732","56.89","35.42","121.68","0","213.99","","","","","","","","","","","",""
"791","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"792","JORNALERA","CODIGO DE TRABAJO","3.06.01.001.001.7.1.01.06","","561","6732","60.99","35.42","170.82","0","267.23","","","","","","","","","","","",""
"793","JORNALERO","CODIGO DE TRABAJO","3.07.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"794","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"795","PLOMERO","CODIGO DE TRABAJO","3.03.01.001.001.7.1.01.06","","578","6936","54.59","35.42","77.12","0","167.13","","","","","","","","","","","",""
"796","CONSERJE","CODIGO DE TRABAJO","1.01.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"797","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP","4.01.01.001.004.5.1.01.05","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"798","AYUDANTE DE RELACIONES PUBLICAS","LOSEP","1.08.01.001.001.5.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"799","ASISTENTE DE COORDINACIÓN GENERAL 3","LOSEP","2.03.01.016.001.7.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"800","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"801","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"802","SECRETARIA GENERAL","LOSEP","1.01.01.001.001.5.1.01.05","Nivel Jerárquico Superior 1","2226","16695","185.5","35.42","0","0","220.92","","","","","","","","","","","",""
"803","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"804","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"805","JORNALERO","CODIGO DE TRABAJO","3.03.01.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"806","JORNALERO","CODIGO DE TRABAJO","3.02.01.007.001.7.1.01.06","","561","6732","58.29","35.42","138.43","0","232.14","","","","","","","","","","","",""
"807","INGENIERO CIVIL","LOSEP","3.06.01.001.001.7.1.01.05","Servidor Público 2","901","10812","75.08","35.42","0","0","110.5","","","","","","","","","","","",""
"808","LABORATORISTA","LOSEP","3.03.01.001.001.7.1.01.05","Servidor Público 2","901","10812","75.08","35.42","0","0","110.5","","","","","","","","","","","",""
"809","ALBAÑIL","CODIGO DE TRABAJO","3.03.01.001.001.6.1.01.06","","578","2601","67.05","35.42","226.54","0","329.01","","","","","","","","","","","",""
"810","BARREDOR","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","561","2150.5","57.28","35.42","126.36","0","219.06","","","","","","","","","","","",""
"811","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"812","SECRETARIA 1","LOSEP","3.02.01.001.001.5.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"813","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP","4.01.01.001.004.5.1.01.05","","596","7152","49.67","35.42","0","0","85.09","","","","","","","","","","","",""
"814","CHOFER","CODIGO DE TRABAJO","3.03.02.001.001.7.1.01.06","","596","7152","49.67","35.42","0","0","85.09","","","","","","","","","","","",""
"815","SECRETARIA","LOSEP","3.02.01.001.001.5.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"816","CHOFER","CODIGO DE TRABAJO","3.03.01.001.001.7.1.01.06","","596","7152","62.89","35.42","158.72","0","257.03","","","","","","","","","","","",""
"817","INGENIERO CIVIL","LOSEP","3.01.01.001.001.7.1.01.05","Servidor Público 4","1086","13032","90.5","35.42","0","0","125.92","","","","","","","","","","","",""
"818","SECRETARIA","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"819","JORNALERA","CODIGO DE TRABAJO","3.03.06.001.001.7.1.01.06","","561","6058.8","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"820","DIGITADOR","LOSEP-SOC","4.01.06.001.001.7.1.05.10","Servidor Público de Apoyo 4","733","7769.8","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"821","COORDINADOR ELECTRICISTA","LOSEP","3.03.01.001.001.7.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"822","CHOFER","CODIGO DE TRABAJO","3.02.01.001.001.7.1.01.06","","596","7152","62.89","35.42","158.72","0","257.03","","","","","","","","","","","",""
"823","ALBAÑIL","CODIGO DE TRABAJO","3.03.02.001.001.7.1.01.06","","578","6936","50.26","35.42","25.06","0","110.74","","","","","","","","","","","",""
"824","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"825","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"826","SECRETARIA 1","LOSEP","3.01.01.001.001.5.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"827","COORDINADOR ADMINISTRATIVO DE TRANSITO","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público 2","901","11194","75.08","35.42","0","0","110.5","","","","","","","","","","","",""
"828","COORDINADOR DE RELACIONES LABORALES","LOSEP","1.07.01.001.001.5.1.01.05","Servidor Público 5","1212","6787.2","101","35.42","0","0","136.42","","","","","","","","","","","",""
"829","AUXILIAR DE ARCHIVO","CODIGO DE TRABAJO","4.01.06.001.001.7.1.01.06","","561","3796.1","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"830","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP-SOC","1.03.01.001.001.5.1.05.10","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"831","PEON","CODIGO DE TRABAJO","3.03.02.001.001.6.1.01.06","","561","6732","49.99","35.42","38.84","0","124.25","","","","","","","","","","","",""
"832","AYUDANTE DE MECANICA","CODIGO DE TRABAJO","3.03.01.001.001.6.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"833","JORNALERO","CODIGO DE TRABAJO","3.06.01.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"834","JORNALERO","CODIGO DE TRABAJO","3.06.01.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"835","CONCEJAL URBANO DEL CANTON LOJA","LOSEP-CONCEJAL","1.01.01.001.001.5.1.01.05","","2072.45","22520.62","172.7","35.42","0","0","208.12","","","","","","","","","","","",""
"836","OFICINISTA","LOSEP","3.07.01.001.001.7.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"837","OPERADOR DE PLANTA DE TRATAMIENTO DE AGUA POTABLE","CODIGO DE TRABAJO","3.03.01.001.001.7.1.01.06","","738","8856","66.91","35.42","64.93","0","167.26","","","","","","","","","","","",""
"838","CHOFER","CODIGO DE TRABAJO","3.03.02.001.001.7.1.01.06","","596","7152","49.67","35.42","0","0","85.09","","","","","","","","","","","",""
"839","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","561","6732","65.47","35.42","224.64","0","325.53","","","","","","","","","","","",""
"840","CONSERJE","CODIGO DE TRABAJO","3.03.01.001.001.6.1.01.06","","561","6732","56.01","35.42","111.15","0","202.58","","","","","","","","","","","",""
"841","AYUDANTE DE ALBAÑIL","CODIGO DE TRABAJO","2.03.01.014.001.7.1.01.06","","561","6732","52.21","35.42","65.52","0","153.15","","","","","","","","","","","",""
"842","OFICINISTA","LOSEP","4.05.01.001.001.5.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"843","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP","4.01.01.001.004.5.1.01.05","","596","7152","49.67","35.42","0","0","85.09","","","","","","","","","","","",""
"844","JORNALERO","CODIGO DE TRABAJO","3.03.01.001.001.7.1.01.06","","561","6732","55.33","35.42","102.96","0","193.71","","","","","","","","","","","",""
"845","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"846","CONSERJE","CODIGO DE TRABAJO","2.01.01.001.001.7.1.01.06","","561","6732","57.67","35.42","131.04","0","224.13","","","","","","","","","","","",""
"847","JORNALERO","CODIGO DE TRABAJO","3.03.01.001.001.7.1.01.06","","561","6732","52.99","35.42","74.88","0","163.29","","","","","","","","","","","",""
"848","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"849","JORNALERO","CODIGO DE TRABAJO","3.06.01.001.001.7.1.01.06","","561","6732","49.09","35.42","28.08","0","112.59","","","","","","","","","","","",""
"850","GUARDIAN","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","561","6732","58.45","35.42","140.4","0","234.27","","","","","","","","","","","",""
"851","CHOFER","CODIGO DE TRABAJO","1.01.01.001.001.5.1.01.06","","596","7152","49.67","35.42","0","0","85.09","","","","","","","","","","","",""
"852","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP","4.01.01.001.004.5.1.01.05","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"853","AYUDANTE DE SERVICIOS ADMINISTRATIVOS","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"854","INSPECTOR","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"855","AYUDANTE PARVULARIA","LOSEP","3.01.01.001.001.5.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"856","PSICOLOGO CLINICO","LOSEP","2.03.01.001.001.7.1.01.05","Servidor Público 2","901","10812","75.08","35.42","0","0","110.5","","","","","","","","","","","",""
"857","ALBAÑIL","CODIGO DE TRABAJO","3.06.01.001.001.7.1.01.06","","578","6936","50.78","35.42","31.33","0","117.53","","","","","","","","","","","",""
"858","DIRECTOR DE HIGIENE","LOSEP","3.02.01.001.001.5.1.01.05","Nivel Jerárquico Superior 1","2115","15862.5","176.25","35.42","0","0","211.67","","","","","","","","","","","",""
"859","ASISTENTE ADMINISTRATIVO","LOSEP","3.01.01.001.001.5.1.01.05","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"860","SECRETARIA","LOSEP","3.01.01.001.001.5.1.01.05","Servidor Público de Apoyo 4","733","11874.08","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"861","AUXILIAR DE ARCHIVO","CODIGO DE TRABAJO","3.06.01.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"862","BIBLIOTECARIA","LOSEP","2.01.01.001.001.5.1.01.05","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"863","CONSERJE","CODIGO DE TRABAJO","3.07.01.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"864","VETERINARIO 2","LOSEP","3.02.01.001.001.5.1.01.05","","1029","12348","85.75","35.42","0","0","121.17","","","","","","","","","","","",""
"865","MÚSICO DE BANDA MUNICIPAL","CODIGO DE TRABAJO","2.01.02.001.001.7.1.01.06","","596","7152","49.67","35.42","0","0","85.09","","","","","","","","","","","",""
"866","ANALISTA EN PSICOLOGÍA 1","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"867","INSPECTOR","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"868","CONCEJAL URBANO DEL CANTON LOJA","LOSEP-CONCEJAL","1.01.01.001.001.5.1.01.05","","2072.45","15681.54","172.7","35.42","0","0","208.12","","","","","","","","","","","",""
"869","ASISTENTE DE SECRETARIA","LOSEP","2.03.01.001.001.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"870","TECNICO OPERADOR DE PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES","LOSEP-SOC","3.03.06.001.001.7.1.05.10","Servidor Público de Apoyo 4","733","8673.83","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"871","OPERADOR DE MAQUINARIA O EQUIPO PESADO","CODIGO DE TRABAJO","3.06.01.001.001.7.1.01.06","","738","8856","61.5","35.42","0","0","96.92","","","","","","","","","","","",""
"872","SECRETARIA","LOSEP","3.03.01.001.001.6.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"873","GUARDIAN","CODIGO DE TRABAJO","2.01.02.001.001.7.1.01.06","","561","3721.3","65.47","35.42","224.64","0","325.53","","","","","","","","","","","",""
"874","JORNALERO","CODIGO DE TRABAJO","3.07.02.001.001.7.1.01.06","","561","6732","59.23","35.42","149.76","0","244.41","","","","","","","","","","","",""
"875","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"876","TECNICO ADMINISTRATIVO","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"877","ASISTENTE DE ARCHIVO","LOSEP","1.08.04.001.001.5.1.01.05","Servidor Público de Apoyo 2","622","7464","51.83","35.42","0","0","87.25","","","","","","","","","","","",""
"878","SWITCHER","LOSEP","1.08.02.002.001.6.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"879","CARPINTERO","CODIGO DE TRABAJO","3.06.01.001.001.7.1.01.06","","578","6936","64.74","35.42","198.83","0","298.99","","","","","","","","","","","",""
"880","ASISTENTES DE VIAS","CODIGO DE TRABAJO","3.06.02.004.003.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"881","JORNALERO","CODIGO DE TRABAJO","3.07.02.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"882","PEON","CODIGO DE TRABAJO","3.07.02.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"883","CARPINTERO","CODIGO DE TRABAJO","3.06.01.001.001.7.1.01.06","","578","6936","66.54","35.42","220.52","0","322.48","","","","","","","","","","","",""
"884","AYUDANTE DE CARPINTERIA","CODIGO DE TRABAJO","3.06.01.001.001.7.1.01.06","","561","6732","63.91","35.42","205.92","0","305.25","","","","","","","","","","","",""
"885","OFICINISTA","LOSEP","2.03.01.001.001.7.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"886","INSPECTOR","LOSEP","3.01.01.001.001.7.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"887","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP","1.03.01.001.001.5.1.01.05","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"888","JORNALERO","CODIGO DE TRABAJO","3.07.01.001.001.5.1.01.06","","561","6732","63.03","35.42","195.39","0","293.84","","","","","","","","","","","",""
"889","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP","4.01.03.001.001.7.1.01.05","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"890","CONSERJE","CODIGO DE TRABAJO","1.01.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"891","RECAUDADORA","LOSEP","1.02.01.001.001.5.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"892","SECRETARIA 1","LOSEP","3.02.02.001.001.7.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"893","TRABAJADORA SOCIAL","LOSEP","2.03.01.001.001.7.1.01.05","Servidor Público 2","901","10812","75.08","35.42","0","0","110.5","","","","","","","","","","","",""
"894","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"895","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP-SOC","1.03.01.001.001.5.1.05.10","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"896","ADMINISTRADORA DEL SIMERT","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público 3","986","11832","82.17","35.42","0","0","117.59","","","","","","","","","","","",""
"897","INSPECTOR-NOTIFICADOR","CODIGO DE TRABAJO","1.03.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"898","JORNALERO","CODIGO DE TRABAJO","3.06.01.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"899","AYUDANTE DE VOLQUETA ","CODIGO DE TRABAJO","3.06.01.001.001.7.1.01.06","","561","6732","65.47","35.42","224.64","0","325.53","","","","","","","","","","","",""
"900","AUXILIAR DE ENFERMERIA","CODIGO DE TRABAJO","2.03.01.010.001.7.1.01.06","","805","9660","67.08","35.42","0","0","102.5","","","","","","","","","","","",""
"901","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","561","6732","65.47","35.42","224.64","0","325.53","","","","","","","","","","","",""
"902","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP-SOC","4.01.01.001.004.5.1.05.10","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"903","PINTOR","CODIGO DE TRABAJO","3.07.01.001.001.7.1.01.06","","578","6936","48.17","35.42","0","0","83.59","","","","","","","","","","","",""
"904","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP","1.03.01.001.001.5.1.01.05","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"905","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP","1.03.01.001.001.5.1.01.05","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"906","COORDINADOR DE BIENES Y PATRIMONIO","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"907","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"908","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"909","JORNALERO","CODIGO DE TRABAJO","3.06.01.001.001.7.1.01.06","","561","6732","52.6","35.42","70.2","0","158.22","","","","","","","","","","","",""
"910","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"911","SARGENTO","LOSEP","1.03.01.001.001.5.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"912","CHOFER","CODIGO DE TRABAJO","3.06.01.001.001.5.1.01.06","","596","7152","49.67","35.42","0","0","85.09","","","","","","","","","","","",""
"913","ANALISTA JURIDICO 2","LOSEP","1.02.01.001.001.5.1.01.05","Servidor Público 2","901","10812","75.08","35.42","0","0","110.5","","","","","","","","","","","",""
"914","INSPECTOR","LOSEP","3.03.01.001.001.7.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"915","COORDINADOR DE SOPORTE INFORMATICO","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público 4","1086","13032","90.5","35.42","0","0","125.92","","","","","","","","","","","",""
"916","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"917","AUXILIAR DE ENFERMERIA","CODIGO DE TRABAJO","2.03.01.015.001.7.1.01.06","","805","9660","67.08","35.42","0","0","102.5","","","","","","","","","","","",""
"918","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"919","TECNICO ADMINISTRATIVO","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"920","GUARDALMACEN","LOSEP","3.07.01.001.001.5.1.01.05","Servidor Público de Apoyo 2","622","7464","51.83","35.42","0","0","87.25","","","","","","","","","","","",""
"921","JORNALERO","CODIGO DE TRABAJO","2.01.01.001.001.7.1.01.06","","561","1514.7","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"922","ARQUITECTO","LOSEP","3.04.03.001.001.5.1.01.05","Servidor Público 5","1212","14544","101","35.42","0","0","136.42","","","","","","","","","","","",""
"923","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"924","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"925","AYUDANTE DE LABORATORIO","LOSEP","4.05.01.001.001.5.1.01.05","Servidor Público de Apoyo 4","733","8796","67.18","35.42","73.2","0","175.8","","","","","","","","","","","",""
"926","BIBLIOTECARIA 1","LOSEP","2.01.01.001.001.5.1.01.05","Servidor Público de Apoyo 2","622","7464","51.83","35.42","0","0","87.25","","","","","","","","","","","",""
"927","INSPECTOR","LOSEP","1.02.01.001.001.5.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"928","INSPECTOR","LOSEP","3.07.01.001.001.5.1.01.05","Servidor Público de Apoyo 3","675","9209.8","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"929","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP","1.03.01.001.001.5.1.01.05","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"930","BIBLIOTECARIA 1","LOSEP","2.03.01.001.001.7.1.01.05","Servidor Público de Apoyo 2","622","7464","51.83","35.42","0","0","87.25","","","","","","","","","","","",""
"931","DIRECTOR DE EDUCACIÓN, DEPORTES Y RECREACIÓN","LOSEP","2.01.01.001.001.7.1.01.05","Nivel Jerárquico Superior 1","2226","16546.6","185.5","35.42","0","0","220.92","","","","","","","","","","","",""
"932","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP","4.01.01.001.004.5.1.01.05","","596","7152","49.67","35.42","0","0","85.09","","","","","","","","","","","",""
"933","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.7.1.01.06","","561","2636.7","66.92","35.42","242.05","0","344.39","","","","","","","","","","","",""
"934","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"935","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"936","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP","1.03.01.001.001.5.1.01.05","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"937","JORNALERA","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"938","CONCEJAL RURAL DEL CANTON LOJA","LOSEP-CONCEJAL","1.01.01.001.001.5.1.01.05","","2072.45","22520.62","172.7","35.42","0","0","208.12","","","","","","","","","","","",""
"939","TOPOGRAFO","CODIGO DE TRABAJO","3.04.03.001.001.5.1.01.05","","668.7","8024.4","55.73","35.42","0","0","91.15","","","","","","","","","","","",""
